trans_x: -11.8483, trans_y: 49.7949, rot_z: -0.98395, rot_w: 0.178443
trans_x: -11.8733, trans_y: 49.7855, rot_z: -0.983659, rot_w: 0.18004
trans_x: -11.8983, trans_y: 49.7761, rot_z: -0.983513, rot_w: 0.180839
trans_x: -11.9229, trans_y: 49.7667, rot_z: -0.982469, rot_w: 0.186424
trans_x: -11.9355, trans_y: 49.7617, rot_z: -0.96624, rot_w: 0.257643
trans_x: -11.9566, trans_y: 49.7496, rot_z: -0.966657, rot_w: 0.256074
trans_x: -11.9842, trans_y: 49.7339, rot_z: -0.976428, rot_w: 0.215845
trans_x: -12.0128, trans_y: 49.7206, rot_z: -0.983366, rot_w: 0.181637
trans_x: -12.0417, trans_y: 49.7095, rot_z: -0.986319, rot_w: 0.164847
trans_x: -12.0673, trans_y: 49.7008, rot_z: -0.985088, rot_w: 0.172049
trans_x: -12.0926, trans_y: 49.6916, rot_z: -0.986185, rot_w: 0.165648
trans_x: -12.1168, trans_y: 49.6833, rot_z: -0.988986, rot_w: 0.14801
trans_x: -12.1427, trans_y: 49.6753, rot_z: -0.9885, rot_w: 0.151221
trans_x: -12.1683, trans_y: 49.6673, rot_z: -0.987878, rot_w: 0.155232
trans_x: -12.1938, trans_y: 49.6591, rot_z: -0.987369, rot_w: 0.158439
trans_x: -12.2152, trans_y: 49.6521, rot_z: -0.985779, rot_w: 0.168049
trans_x: -12.2289, trans_y: 49.6472, rot_z: -0.983218, rot_w: 0.182435
trans_x: -12.2404, trans_y: 49.6428, rot_z: -0.979965, rot_w: 0.199169
trans_x: -12.2538, trans_y: 49.6371, rot_z: -0.975899, rot_w: 0.218222
trans_x: -12.2709, trans_y: 49.6291, rot_z: -0.971655, rot_w: 0.236404
trans_x: -12.2909, trans_y: 49.6188, rot_z: -0.966449, rot_w: 0.256858
trans_x: -12.3128, trans_y: 49.6062, rot_z: -0.961485, rot_w: 0.274857
trans_x: -12.3313, trans_y: 49.5947, rot_z: -0.95666, rot_w: 0.291207
trans_x: -12.3432, trans_y: 49.5867, rot_z: -0.950554, rot_w: 0.310561
trans_x: -12.3506, trans_y: 49.5813, rot_z: -0.944856, rot_w: 0.327486
trans_x: -12.3578, trans_y: 49.5757, rot_z: -0.938297, rot_w: 0.345831
trans_x: -12.3673, trans_y: 49.5675, rot_z: -0.933143, rot_w: 0.359504
trans_x: -12.3799, trans_y: 49.5561, rot_z: -0.925963, rot_w: 0.377615
trans_x: -12.3951, trans_y: 49.5413, rot_z: -0.918109, rot_w: 0.396328
trans_x: -12.4116, trans_y: 49.5237, rot_z: -0.910885, rot_w: 0.412661
trans_x: -12.4287, trans_y: 49.5043, rot_z: -0.906136, rot_w: 0.422986
trans_x: -12.4459, trans_y: 49.4837, rot_z: -0.902673, rot_w: 0.430328
trans_x: -12.46, trans_y: 49.4663, rot_z: -0.903718, rot_w: 0.428128
trans_x: -12.4721, trans_y: 49.4515, rot_z: -0.909877, rot_w: 0.414878
trans_x: -12.4853, trans_y: 49.4363, rot_z: -0.917464, rot_w: 0.397818
trans_x: -12.5008, trans_y: 49.4198, rot_z: -0.923802, rot_w: 0.382871
trans_x: -12.5183, trans_y: 49.4023, rot_z: -0.929597, rot_w: 0.368577
trans_x: -12.5376, trans_y: 49.3841, rot_z: -0.934595, rot_w: 0.355714
trans_x: -12.5576, trans_y: 49.3663, rot_z: -0.936601, rot_w: 0.350397
trans_x: -12.5781, trans_y: 49.3485, rot_z: -0.937452, rot_w: 0.348115
trans_x: -12.5989, trans_y: 49.3306, rot_z: -0.938577, rot_w: 0.34507
trans_x: -12.6199, trans_y: 49.3127, rot_z: -0.938857, rot_w: 0.344308
trans_x: -12.6395, trans_y: 49.2961, rot_z: -0.933726, rot_w: 0.357989
trans_x: -12.6601, trans_y: 49.2776, rot_z: -0.932558, rot_w: 0.361019
trans_x: -12.6801, trans_y: 49.2594, rot_z: -0.932558, rot_w: 0.361019
trans_x: -12.6992, trans_y: 49.2419, rot_z: -0.938577, rot_w: 0.34507
trans_x: -12.7199, trans_y: 49.2243, rot_z: -0.938857, rot_w: 0.344308
trans_x: -12.7409, trans_y: 49.2066, rot_z: -0.941073, rot_w: 0.338203
trans_x: -12.7621, trans_y: 49.189, rot_z: -0.942709, rot_w: 0.333616
trans_x: -12.7833, trans_y: 49.1719, rot_z: -0.943519, rot_w: 0.331319
trans_x: -12.8046, trans_y: 49.1549, rot_z: -0.943519, rot_w: 0.331319
trans_x: -12.8257, trans_y: 49.138, rot_z: -0.942709, rot_w: 0.333616
trans_x: -12.847, trans_y: 49.1207, rot_z: -0.941073, rot_w: 0.338203
trans_x: -12.8682, trans_y: 49.1032, rot_z: -0.940247, rot_w: 0.340494
trans_x: -12.8884, trans_y: 49.0864, rot_z: -0.936316, rot_w: 0.351158
trans_x: -12.9077, trans_y: 49.0695, rot_z: -0.933143, rot_w: 0.359504
trans_x: -12.9296, trans_y: 49.0497, rot_z: -0.936031, rot_w: 0.351918
trans_x: -12.9514, trans_y: 49.0306, rot_z: -0.939136, rot_w: 0.343545
trans_x: -12.9727, trans_y: 49.0126, rot_z: -0.940523, rot_w: 0.339731
trans_x: -12.9938, trans_y: 48.9951, rot_z: -0.940523, rot_w: 0.339731
trans_x: -13.0145, trans_y: 48.9779, rot_z: -0.93997, rot_w: 0.341257
trans_x: -13.0354, trans_y: 48.9604, rot_z: -0.939693, rot_w: 0.34202
trans_x: -13.0562, trans_y: 48.9429, rot_z: -0.93997, rot_w: 0.341257
trans_x: -13.0764, trans_y: 48.9261, rot_z: -0.940247, rot_w: 0.340494
trans_x: -13.0966, trans_y: 48.9092, rot_z: -0.940523, rot_w: 0.339731
trans_x: -13.117, trans_y: 48.8922, rot_z: -0.941073, rot_w: 0.338203
trans_x: -13.1376, trans_y: 48.8753, rot_z: -0.941621, rot_w: 0.336675
trans_x: -13.1583, trans_y: 48.8583, rot_z: -0.940798, rot_w: 0.338967
trans_x: -13.1749, trans_y: 48.8446, rot_z: -0.934595, rot_w: 0.355714
trans_x: -13.1935, trans_y: 48.828, rot_z: -0.936601, rot_w: 0.350397
trans_x: -13.2146, trans_y: 48.8097, rot_z: -0.941347, rot_w: 0.337439
trans_x: -13.237, trans_y: 48.7913, rot_z: -0.944323, rot_w: 0.32902
trans_x: -13.2594, trans_y: 48.7734, rot_z: -0.946702, rot_w: 0.322112
trans_x: -13.2813, trans_y: 48.7566, rot_z: -0.948001, rot_w: 0.318267
trans_x: -13.3032, trans_y: 48.74, rot_z: -0.94903, rot_w: 0.315187
trans_x: -13.3248, trans_y: 48.7239, rot_z: -0.948773, rot_w: 0.315957
trans_x: -13.3452, trans_y: 48.7086, rot_z: -0.94325, rot_w: 0.332085
trans_x: -13.3663, trans_y: 48.6916, rot_z: -0.942438, rot_w: 0.334381
trans_x: -13.3875, trans_y: 48.6745, rot_z: -0.942438, rot_w: 0.334381
trans_x: -13.4074, trans_y: 48.6583, rot_z: -0.947223, rot_w: 0.320575
trans_x: -13.4287, trans_y: 48.642, rot_z: -0.946702, rot_w: 0.322112
trans_x: -13.45, trans_y: 48.6256, rot_z: -0.945651, rot_w: 0.325184
trans_x: -13.4671, trans_y: 48.6123, rot_z: -0.943788, rot_w: 0.330553
trans_x: -13.4783, trans_y: 48.6034, rot_z: -0.938577, rot_w: 0.34507
trans_x: -13.4851, trans_y: 48.5976, rot_z: -0.932265, rot_w: 0.361776
trans_x: -13.4897, trans_y: 48.5934, rot_z: -0.927791, rot_w: 0.373101
trans_x: -13.4925, trans_y: 48.5907, rot_z: -0.921611, rot_w: 0.388114
trans_x: -13.494, trans_y: 48.5891, rot_z: -0.913875, rot_w: 0.405995
trans_x: -13.4951, trans_y: 48.5879, rot_z: -0.906822, rot_w: 0.421514
trans_x: -13.4958, trans_y: 48.5871, rot_z: -0.902323, rot_w: 0.431061
trans_x: -13.4974, trans_y: 48.5851, rot_z: -0.890822, rot_w: 0.454352
trans_x: -13.5009, trans_y: 48.5802, rot_z: -0.869655, rot_w: 0.49366
trans_x: -13.5067, trans_y: 48.5705, rot_z: -0.845457, rot_w: 0.534044
trans_x: -13.5137, trans_y: 48.5559, rot_z: -0.817051, rot_w: 0.576565
trans_x: -13.5206, trans_y: 48.5365, rot_z: -0.789508, rot_w: 0.613741
trans_x: -13.5264, trans_y: 48.5136, rot_z: -0.767608, rot_w: 0.64092
trans_x: -13.5302, trans_y: 48.4929, rot_z: -0.759218, rot_w: 0.650836
trans_x: -13.5331, trans_y: 48.4742, rot_z: -0.763953, rot_w: 0.645272
trans_x: -13.5364, trans_y: 48.4543, rot_z: -0.773815, rot_w: 0.633412
trans_x: -13.5411, trans_y: 48.4312, rot_z: -0.78147, rot_w: 0.623943
trans_x: -13.5468, trans_y: 48.4058, rot_z: -0.790006, rot_w: 0.613099
trans_x: -13.5538, trans_y: 48.3788, rot_z: -0.795941, rot_w: 0.605375
trans_x: -13.5614, trans_y: 48.3511, rot_z: -0.800342, rot_w: 0.599543
trans_x: -13.5694, trans_y: 48.324, rot_z: -0.803736, rot_w: 0.594986
trans_x: -13.5776, trans_y: 48.2971, rot_z: -0.804701, rot_w: 0.59368
trans_x: -13.5859, trans_y: 48.2703, rot_z: -0.805183, rot_w: 0.593027
trans_x: -13.5942, trans_y: 48.2436, rot_z: -0.809017, rot_w: 0.587785
trans_x: -13.6028, trans_y: 48.217, rot_z: -0.81187, rot_w: 0.583838
trans_x: -13.6117, trans_y: 48.1904, rot_z: -0.815645, rot_w: 0.578553
trans_x: -13.621, trans_y: 48.1641, rot_z: -0.818453, rot_w: 0.574573
trans_x: -13.6297, trans_y: 48.1399, rot_z: -0.81187, rot_w: 0.583838
trans_x: -13.6386, trans_y: 48.1134, rot_z: -0.80997, rot_w: 0.586471
trans_x: -13.6472, trans_y: 48.0871, rot_z: -0.820778, rot_w: 0.571247
trans_x: -13.6572, trans_y: 48.0603, rot_z: -0.822629, rot_w: 0.568579
trans_x: -13.667, trans_y: 48.0343, rot_z: -0.825389, rot_w: 0.564565
trans_x: -13.677, trans_y: 48.0085, rot_z: -0.827217, rot_w: 0.561882
trans_x: -13.6871, trans_y: 47.9829, rot_z: -0.829038, rot_w: 0.559193
trans_x: -13.6974, trans_y: 47.9576, rot_z: -0.828583, rot_w: 0.559866
trans_x: -13.7075, trans_y: 47.9324, rot_z: -0.828583, rot_w: 0.559866
trans_x: -13.7177, trans_y: 47.907, rot_z: -0.829038, rot_w: 0.559193
trans_x: -13.7279, trans_y: 47.8818, rot_z: -0.829038, rot_w: 0.559193
trans_x: -13.7381, trans_y: 47.8565, rot_z: -0.828583, rot_w: 0.559866
trans_x: -13.7483, trans_y: 47.8312, rot_z: -0.829038, rot_w: 0.559193
trans_x: -13.758, trans_y: 47.8072, rot_z: -0.81985, rot_w: 0.572579
trans_x: -13.7643, trans_y: 47.7899, rot_z: -0.811396, rot_w: 0.584497
trans_x: -13.7721, trans_y: 47.7666, rot_z: -0.822629, rot_w: 0.568579
trans_x: -13.7829, trans_y: 47.738, rot_z: -0.835339, rot_w: 0.549735
trans_x: -13.7953, trans_y: 47.7093, rot_z: -0.84589, rot_w: 0.533357
trans_x: -13.8083, trans_y: 47.6822, rot_z: -0.851046, rot_w: 0.525092
trans_x: -13.8213, trans_y: 47.6562, rot_z: -0.851897, rot_w: 0.523709
trans_x: -13.8338, trans_y: 47.6314, rot_z: -0.852746, rot_w: 0.522326
trans_x: -13.8463, trans_y: 47.607, rot_z: -0.856958, rot_w: 0.515386
trans_x: -13.8591, trans_y: 47.5828, rot_z: -0.858211, rot_w: 0.513297
trans_x: -13.8717, trans_y: 47.5593, rot_z: -0.860701, rot_w: 0.509111
trans_x: -13.8846, trans_y: 47.5358, rot_z: -0.859873, rot_w: 0.510508
trans_x: -13.8976, trans_y: 47.5121, rot_z: -0.85612, rot_w: 0.516777
trans_x: -13.9102, trans_y: 47.4881, rot_z: -0.853593, rot_w: 0.52094
trans_x: -13.9226, trans_y: 47.4641, rot_z: -0.852322, rot_w: 0.523018
trans_x: -13.9347, trans_y: 47.4401, rot_z: -0.851897, rot_w: 0.523709
trans_x: -13.9466, trans_y: 47.4167, rot_z: -0.850619, rot_w: 0.525782
trans_x: -13.9581, trans_y: 47.3936, rot_z: -0.851046, rot_w: 0.525092
trans_x: -13.9701, trans_y: 47.3697, rot_z: -0.849764, rot_w: 0.527163
trans_x: -13.9822, trans_y: 47.3454, rot_z: -0.846755, rot_w: 0.531983
