////////////////////////////////////////////////////////////// PID-setup Teil kp Versuch 1: kp = 0.1;
error: 0 | diff: 0 | msg.angular.z: 0
error: 0 | diff: 0 | msg.angular.z: 0
error: 0 | diff: 0 | msg.angular.z: 0
error: 0 | diff: 0 | msg.angular.z: 0
error: 0 | diff: 0 | msg.angular.z: 0
error: 0 | diff: 0 | msg.angular.z: 0
Linie verlassen bei: 29026 32748 9391 24989                <-- sensoren vermutlich noch nicht ganz einsatzbereit
Linie verlassen bei: 29026 32748 9391 24989
Linie verlassen bei: 29026 32748 9391 24989
Linie verlassen bei: 29026 32748 9391 24989
Linie verlassen bei: 15038 10641 25261 22006            
error: 0.21752 | diff: 5438 | msg.angular.z: 0.021752
error: 0.21752 | diff: 5438 | msg.angular.z: 0.021752
error: 0.21752 | diff: 5438 | msg.angular.z: 0.021752
error: 0.2896 | diff: 7240 | msg.angular.z: 0.02896
error: 0.2896 | diff: 7240 | msg.angular.z: 0.02896
error: 0.2896 | diff: 7240 | msg.angular.z: 0.02896
error: 0.2896 | diff: 7240 | msg.angular.z: 0.02896
error: 0.2896 | diff: 7240 | msg.angular.z: 0.02896
error: 0.35236 | diff: 8809 | msg.angular.z: 0.035236
error: 0.35236 | diff: 8809 | msg.angular.z: 0.035236
error: 0.35236 | diff: 8809 | msg.angular.z: 0.035236
error: 0.35236 | diff: 8809 | msg.angular.z: 0.035236
error: 0.35236 | diff: 8809 | msg.angular.z: 0.035236
error: 0.415 | diff: 10375 | msg.angular.z: 0.0415
error: 0.415 | diff: 10375 | msg.angular.z: 0.0415
error: 0.415 | diff: 10375 | msg.angular.z: 0.0415
error: 0.415 | diff: 10375 | msg.angular.z: 0.0415
error: 0.415 | diff: 10375 | msg.angular.z: 0.0415
error: 0.499 | diff: 12475 | msg.angular.z: 0.0499
error: 0.499 | diff: 12475 | msg.angular.z: 0.0499
error: 0.499 | diff: 12475 | msg.angular.z: 0.0499
error: 0.499 | diff: 12475 | msg.angular.z: 0.0499
error: 0.499 | diff: 12475 | msg.angular.z: 0.0499
error: 0.53736 | diff: 13434 | msg.angular.z: 0.053736
error: 0.53736 | diff: 13434 | msg.angular.z: 0.053736
error: 0.53736 | diff: 13434 | msg.angular.z: 0.053736
error: 0.53736 | diff: 13434 | msg.angular.z: 0.053736
error: 0.53736 | diff: 13434 | msg.angular.z: 0.053736
error: 0.598 | diff: 14950 | msg.angular.z: 0.0598
error: 0.598 | diff: 14950 | msg.angular.z: 0.0598
error: 0.598 | diff: 14950 | msg.angular.z: 0.0598
error: 0.598 | diff: 14950 | msg.angular.z: 0.0598
